nodes,workers,graph,sources,failed_variants,current,old-fixed,tuned-fixed,open,riken,gap,riken_ratio,riken_ci_low,riken_ci_high,gap_ratio,gap_ci_low,gap_ci_high,control_ratio,control_ci_low,control_ci_high,tuned-fixed_ratio,tuned-fixed_ci_low,tuned-fixed_ci_high,old-fixed_ratio,old-fixed_ci_low,old-fixed_ci_high,open_ratio,open_ci_low,open_ci_high
2,16,road-ny,8,,0.21423937764385145,0.5757242913045673,0.14203760512195157,0.21453261618433214,0.12054205232044542,,0.5626512438849259,0.5353493603782365,0.5842764184438158,,,,0.9951141409909618,0.966134365266589,1.0274390829141267,0.6629855196745059,0.6313152527411127,0.6949591820590958,2.687294453691157,2.5178548706530206,2.849994801000478,1.0013687424959206,0.9598542687975278,1.04322214346992
2,16,uniform20,8,,0.16662330540247183,0.18055211610824143,0.1676432461936039,0.16525047589434266,0.07204587972843969,,0.4323877716530457,0.41603043422937724,0.4499055831911306,,,,1.0472593921611766,0.9964544915114563,1.1100550086054624,1.0061212372943178,0.9606136113869325,1.0466633032965247,1.0835946128431742,1.039397509525702,1.1279701285013874,0.9917608793991145,0.9537811510028182,1.027872305627522
2,16,uniform20-s2,8,,0.17132411291053556,0.18622302984796393,0.16888886325047514,0.174422412866168,0.0793162131365722,,0.46296001064363107,0.43842580010209786,0.483313928342375,,,,1.0163107129358147,0.9697407221569876,1.0694248873930379,0.9857857156316805,0.94045733761551,1.0275778934015098,1.0869633391606033,1.0431692281881675,1.1272202859437377,1.018084436002598,0.9837911755272444,1.0577905456482322
2,16,youtube,8,,0.12157455236706444,0.13188986973080064,0.11174234259616389,0.10028697118926726,0.03173306767629099,,0.26101735156285666,0.24398754694195504,0.2789305215866626,,,,0.9857387363750969,0.9180439394933586,1.0726367296921726,0.9191260870020346,0.8509816211586582,0.9912084300170253,1.0848476688821491,0.9653311070737596,1.1994275204073255,0.8249010112451445,0.770973152573025,0.8781433149988721
4,16,mesh22,8,,1.0471485338006292,1.3185730733048853,0.7704288118609316,1.0768753863344045,4.619984080628068,,4.411966336676059,3.9217201921725455,4.97874635943889,,,,1.016119283451711,0.9490602541057682,1.0833069768960915,0.7357397608767664,0.6969432723663437,0.7765987420238091,1.259203475670371,1.1793515248099362,1.3432930894146509,1.028388381947957,0.992401454625794,1.0699328004758006
4,16,rmat22,8,,0.34726629714212137,0.3830617009254174,0.3540136873626041,0.33924466186379487,0.05745068390182812,,0.16543696976823524,0.15594675534430721,0.17578095472290386,,,,1.0461954628508958,0.9285714515470974,1.2428527203776167,1.0194300174707747,0.9583091762491162,1.1089186762482743,1.1030776786514542,1.0368854451078682,1.161530436905534,0.9769006225356686,0.9349193505037765,1.0101197879141806
8,16,mesh22,8,,0.922108586407029,1.6273309317435798,0.7420142022714702,0.9249121252106883,3.1335952108294856,,3.3982930611669646,3.111504686372396,3.687914184784932,,,,0.993437372282624,0.9779570961953054,1.0090730190047794,0.804692867206354,0.7622137700177736,0.843843786693203,1.7647931661545744,1.6933451359961957,1.8324018281687047,1.0030403564666752,0.994059322654816,1.0127318880922012
8,16,rmat22,8,,0.20955938084007514,0.22929644044195088,0.21271942187196038,0.204087662624098,0.04550242794809822,,0.21713381555953024,0.20602818360736858,0.2288445235193453,,,,1.052778236066232,1.0000598577121431,1.1151832903125236,1.015079453943877,0.9822265188217114,1.0510534098629176,1.0941836128869749,1.0537812474399895,1.1297993190932205,0.9738894140933122,0.9424920922230475,1.0071294623798082
16,16,mesh22,8,,0.8640536179716869,2.2154977438570373,0.9483136381586237,0.8759479637876052,2.437484632157114,,2.8209877043035365,2.5439674145616307,3.0773210743626116,,,,1.0198846481467299,1.0056510732052892,1.0355631647640189,1.0975171198110738,1.0709117904072978,1.1355216794008316,2.564074378923131,2.453681393426652,2.6635626373214167,1.013765749680951,0.9920228618122652,1.0368050003207643
16,16,rmat22,8,,0.16924325012849845,0.2074328002439324,0.1471222267902088,0.1442350777440491,0.03562657532361667,,0.21050514745236273,0.18742103297024396,0.23932769452728017,,,,0.9483955961482947,0.8339664484123003,1.0845253401051018,0.8692945017216688,0.783224991364954,0.9627805725285484,1.225648881633025,1.1163086771678488,1.3283414243182492,0.8522353336664134,0.7726791259821582,0.9312232529525387
