nodes,workers,graph,variant,runs,seconds_median,reductions_median,updates_noted_median,distance_changes_median,rejected_median,tram_bytes_median,tram_messages_median,bucket_scale_median,coarsenings_median,read_seconds_median
1,16,road-ny,open,16,0.191569,451.0,12014594.0,4663879.0,7634092.5,288603032.0,15800.0,1.0,0.0,0.0
1,16,road-ny,tuned-fixed,16,0.12516649999999999,1301.0,2485510.5,960345.5,1604068.0,59789620.0,8109.5,1.0,0.0,0.0
1,16,uniform20,control,16,0.2892045,108.0,33718173.0,3270237.5,32664121.5,809502040.0,16644.5,10.5,1.0,0.0
1,16,uniform20,current,16,0.292165,104.5,33727109.5,3272881.5,32672604.0,809716636.0,16641.0,11.0,1.0,0.0
1,16,uniform20,old-fixed,16,0.2905145,463.0,33563155.0,3242294.5,32513581.0,805785536.0,16884.5,1.0,0.0,0.0
1,16,uniform20,open,16,0.2853115,57.5,33827084.5,3273920.0,32769272.0,812116004.0,16628.0,10.0,1.0,0.0
1,16,uniform20,tuned-fixed,16,0.2891455,69.5,33861097.5,3283156.0,32802161.0,812936932.0,16886.0,1.0,0.0,0.0
1,16,uniform20-s2,control,16,0.28641700000000003,108.5,33794384.5,3289503.5,32739373.0,811332116.0,16676.5,10.0,1.0,0.0
1,16,uniform20-s2,current,16,0.2832455,108.0,33767200.0,3281640.0,32713017.0,810679496.0,16672.0,10.0,1.0,0.0
1,16,uniform20-s2,old-fixed,16,0.2872065,446.0,33607151.5,3241095.0,32557544.5,806841876.0,16894.0,1.0,0.0,0.0
1,16,uniform20-s2,open,16,0.2914825,56.5,33875820.0,3293407.5,32817873.0,813285936.0,16642.5,11.0,1.0,0.0
1,16,uniform20-s2,tuned-fixed,16,0.2842295,461.5,33607182.0,3245121.0,32557579.5,806842664.0,16896.5,1.0,0.0,0.0
1,16,youtube,control,16,0.16577999999999998,294.0,7592278.5,1992906.5,6419112.0,182290380.0,5168.0,9.0,1.0,0.0
1,16,youtube,current,16,0.176913,289.5,7831819.0,2084782.0,6650884.0,188032312.0,4477.0,9.5,1.0,0.0
1,16,youtube,old-fixed,16,0.17975,737.0,7275432.5,1948449.0,6111578.0,174691044.0,5164.0,1.0,0.0,0.0
1,16,youtube,open,16,0.1567715,83.0,7849612.0,2092707.5,6651748.5,188455952.0,4072.0,9.5,1.0,0.0
1,16,youtube,tuned-fixed,16,0.192843,686.0,7354668.0,2010550.5,6197944.5,176631328.0,7974.0,1.0,0.0,0.0
1,64,mesh22,control,16,2.414358,726.0,328146886.5,90943086.5,246073579.0,7878353932.0,178658.5,1.0,0.0,0.0
1,64,mesh22,current,16,2.4560625,797.5,318403328.5,88189461.5,238766165.5,7644480548.0,174497.0,1.0,0.0,0.0
1,64,mesh22,old-fixed,16,2.493029,3812.0,188341314.5,51309270.0,141228596.5,4521798332.0,101077.5,1.0,0.0,0.0
1,64,mesh22,open,16,2.397103,790.5,328167023.0,91150639.5,246086785.5,7878797568.0,175764.5,1.0,0.0,0.0
1,64,mesh22,tuned-fixed,16,1.8343505,1594.5,199044092.5,54544001.5,149253669.5,4778893036.0,118865.0,1.0,0.0,0.0
1,64,rmat22,control,16,0.9662094999999999,63.0,152804957.5,7176689.0,150359516.5,3668581508.0,77595.5,8.0,1.0,0.0
1,64,rmat22,current,16,0.8358749999999999,63.0,149015805.5,7018803.5,146570891.0,3577555812.0,76702.5,8.0,1.0,0.0
1,64,rmat22,old-fixed,16,0.9478965,183.0,151138424.0,7301400.5,148685013.5,3628527608.0,75679.5,1.0,0.0,0.0
